CreatedById,CreatedDate,Description,DeveloperName,FolderName,Format,Id,IsDeleted,LastModifiedById,LastModifiedDate,LastReferencedDate,LastRunDate,LastViewedDate,Name,NamespacePrefix,OwnerId,ReportTypeApiName,SystemModstamp,isActive
0050b000004MLGeAAO,2018-06-20T19:28:03.000Z,,Email2Case_KPI_Wp9,Public Reports,Summary,00O0b000004kSKkEAM,False,0050b000004MLGeAAO,2019-10-16T03:00:16.000Z,2022-06-20T02:04:59.000Z,2022-06-20T02:04:59.000Z,2022-06-20T02:04:59.000Z,Email2Case KPI,,00D0b000000GaMpEAK,CaseList@Case.MaritzCX__Survey_Response_Id__c,2022-06-20T02:04:59.000Z,True
0050b000004KRSoAAO,2021-08-18T13:14:25.000Z,,Milestone_Report_by_Pallavi_Reddy,Public Reports,Summary,00O2R000003JUgNUAW,False,0050b000004KRSoAAO,2021-08-19T07:27:05.000Z,2022-06-19T18:20:34.000Z,2022-04-18T05:30:14.000Z,2022-06-19T18:20:34.000Z,APJ RDC PM Team - Milestone Report,,00D0b000000GaMpEAK,Project_with_Order_Milestone_Product__c,2022-04-18T05:30:14.000Z,True
0050b000004KRSoAAO,2021-08-18T14:53:32.000Z,,APJ_RDC_PM_Current_Quarter_Milestones,Public Reports,Summary,00O2R000003JUh6UAG,False,0050b000004KRSoAAO,2021-08-19T07:08:48.000Z,,2022-05-25T08:03:16.000Z,,APJ RDC PM - Current Quarter Milestones,,00D0b000000GaMpEAK,Project_with_Order_Milestone_Product__c,2022-05-25T08:03:16.000Z,True
0050b000004KVKcAAO,2021-05-06T17:43:54.000Z,Show QTD Earned Revenue - Milestones that have been taken this quarter,C_C_QTD_Earned_Revenue1,Public Reports,Summary,00O2R000003s1qaUAA,False,0050b000004KVKcAAO,2021-08-09T21:37:07.000Z,2022-06-19T18:20:37.000Z,2022-06-15T20:56:37.000Z,2022-06-19T18:20:37.000Z,C&C - QTD Earned Revenue,,00D0b000000GaMpEAK,,2022-06-15T20:56:37.000Z,True
0050b000004dgkKAAQ,2017-08-15T17:20:40.000Z,What documents are in the document library?,SampleReportDocumentLibrary,Public Reports,Summary,00O0b000004RmskEAC,False,0050b000004dgkKAAQ,2017-08-15T17:20:40.000Z,2022-06-19T17:40:18.000Z,2022-06-19T17:40:18.000Z,2022-06-19T17:40:18.000Z,Sample Report: Document Library,,00D0b000000GaMpEAK,DocumentList,2022-06-19T17:40:18.000Z,True
0050b000004dgkKAAQ,2017-08-15T17:20:40.000Z,Who has the most open cases?,SampleReportCasesStatusbyRep,Public Reports,Matrix,00O0b000004VYLmEAO,False,0050b000004dgkKAAQ,2017-08-15T17:20:40.000Z,,2022-03-29T23:14:25.000Z,,Sample Report: Cases Status by Rep,,00D0b000000GaMpEAK,CaseList@Case.MaritzCX__Survey_Response_Id__c,2022-03-29T23:14:25.000Z,True
0050b000004KVKcAAO,2021-07-16T15:16:13.000Z,Cyber Recovery Projects,C_C_Cyber_Recovery_Projects,Public Reports,Summary,00O2R000003JT8tUAG,False,0050b000004KVKcAAO,2021-07-16T16:26:57.000Z,,2022-01-04T13:56:01.000Z,,C&C - Cyber Recovery Projects,,00D0b000000GaMpEAK,Projects_with_MilestoneOrder_and_Order_Product__c,2022-01-04T13:56:01.000Z,True
0050b000004dgkKAAQ,2017-08-15T17:20:40.000Z,How many accounts are being added to Salesforce?,SampleReportofAccounts,Public Reports,Matrix,00O0b000004RmsjEAC,False,0050b000004dgkKAAQ,2017-08-15T17:20:40.000Z,,2022-02-09T20:16:36.000Z,,Sample Report: # of Accounts,,00D0b000000GaMpEAK,AccountList@Account.tz__DST_Setting__c,2022-02-09T20:16:36.000Z,True
0050b000004dgkKAAQ,2017-08-15T17:20:40.000Z,What deals have not closed yet?,SampleReportOpenDeals,Public Reports,Summary,00O0b000004VYLgEAO,False,0050b000004dgkKAAQ,2017-08-15T17:20:40.000Z,,2022-02-10T09:18:58.000Z,,Sample Report: Open Deals,,00D0b000000GaMpEAK,Opportunity,2022-02-10T09:18:58.000Z,True
0050b000004dgkKAAQ,2017-08-15T17:20:40.000Z,How Many Solutions are Being Added to the Knowledgebase each Month?,SampleReportSolutionsAdded,Public Reports,Matrix,00O0b000004VYLkEAO,False,0050b000004dgkKAAQ,2017-08-15T17:20:40.000Z,,2022-01-05T17:41:45.000Z,,Sample Report: Solutions Added,,00D0b000000GaMpEAK,SolutionList,2022-01-05T17:41:45.000Z,True
0050b000004dgkKAAQ,2017-08-15T17:20:40.000Z,How many documents have been added to Salesforce?,SampleReportofDocuments,Public Reports,Summary,00O0b000004VYLqEAO,False,0050b000004dgkKAAQ,2017-08-15T17:20:40.000Z,,2022-02-15T14:14:58.000Z,,Sample Report: # of Documents,,00D0b000000GaMpEAK,DocumentList,2022-02-15T14:14:58.000Z,True
0050b000004dgkKAAQ,2017-08-15T17:20:40.000Z,How many custom reports have we added to Salesforce?,SampleReportofReports,Public Reports,Summary,00O0b000004VYLrEAO,False,0050b000004dgkKAAQ,2017-08-15T17:20:40.000Z,,2022-05-10T15:26:26.000Z,,Sample Report: # of Reports,,00D0b000000GaMpEAK,ReportList,2022-05-10T15:26:26.000Z,True
0050b000004dgkKAAQ,2017-08-15T17:20:40.000Z,How many contacts do we have in Salesforce?,SampleReportofContacts,Public Reports,Summary,00O0b000004VYLuEAO,False,0050b000004dgkKAAQ,2017-08-15T17:20:40.000Z,,2022-04-12T08:23:11.000Z,,Sample Report: # of Contacts,,00D0b000000GaMpEAK,ContactList@Contact.tz__DST_Setting__c,2022-04-12T08:23:11.000Z,True
0050b000004dgkKAAQ,2017-08-15T17:20:40.000Z,How many cases have been added to Salesforce?,SampleReportofCases,Public Reports,Summary,00O0b000004VYLtEAO,False,0050b000004dgkKAAQ,2017-08-15T17:20:40.000Z,,2022-06-06T14:52:44.000Z,,Sample Report: # of Cases,,00D0b000000GaMpEAK,CaseList@Case.MaritzCX__Survey_Response_Id__c,2022-06-06T14:52:44.000Z,True
0050b000004dgkKAAQ,2017-08-15T17:20:40.000Z,Who are my active users?,SampleReportActiveUsers,Public Reports,Summary,00O0b000004VYLxEAO,False,0050b000004dgkKAAQ,2017-08-15T17:20:40.000Z,,2022-03-29T02:19:56.000Z,,Sample Report: Active Users,,00D0b000000GaMpEAK,User,2022-03-29T02:19:56.000Z,True
0050b000004dgkKAAQ,2017-08-15T17:20:40.000Z,How many tasks and activies are being added to Salesforce?,SampleReportofTasksandActivities,Public Reports,Matrix,00O0b000004VYLyEAO,False,0050b000004dgkKAAQ,2017-08-15T17:20:40.000Z,,2022-06-15T14:07:58.000Z,,Sample Report: # of Tasks and Activities,,00D0b000000GaMpEAK,Activity,2022-06-15T14:07:58.000Z,True
0050b000004dgkKAAQ,2017-08-15T17:20:40.000Z,How many open tasks do each of my users have?,SampleReportofOpenTasks,Public Reports,Matrix,00O0b000004VYM2EAO,False,0050b000004dgkKAAQ,2017-08-15T17:20:40.000Z,,2022-04-14T20:36:43.000Z,,Sample Report: # of Open Tasks,,00D0b000000GaMpEAK,Activity,2022-04-14T20:36:43.000Z,True
0052R000009pbzxQAA,2021-08-17T19:14:50.000Z,"For checking which agents used the ""Current Status - Escalation"" in their Task creation in the past week.",Current_Status_Escalation_Use2,Public Reports,Summary,00O2R000003JUf5UAG,False,0052R000009pbzxQAA,2021-08-17T19:30:59.000Z,,2022-05-13T03:11:01.000Z,,Current Status Escalation Use,,00D0b000000GaMpEAK,Activity,2022-05-13T03:11:01.000Z,True
0050b000004JzMqAAK,2018-09-28T09:58:13.000Z,,OSP_Invoicing_Report,Public Reports,Summary,00O0b000004kf2uEAA,False,0050b000004MLUkAAO,2019-09-27T20:08:16.000Z,,2022-06-16T12:19:17.000Z,,OSP Invoicing Report,,00D0b000000GaMpEAK,Live_Agent_Session_with_agent_details__c,2022-06-16T12:19:17.000Z,True
0050b000004K5i0AAC,2018-11-11T03:50:23.000Z,,PSA_IDS_Global_Demand_Project_Revenue_QTD,Public Reports,Summary,00O0b000004kkfhEAA,False,0050b000004K5i0AAC,2018-11-11T03:50:23.000Z,,2022-06-03T08:28:48.000Z,,IDS Global Demand - Project Revenue QTD,,00D0b000000GaMpEAK,,2022-06-03T08:28:48.000Z,True
0050b000004JzMqAAK,2019-02-12T10:59:47.000Z,,Admin_Reports,Public Reports,Tabular,00O0b000004kwXBEAY,False,0050b000004MLeRAAW,2021-05-07T09:30:11.000Z,,2022-06-09T21:34:16.000Z,,Reports with or w/o Dashboards,,00D0b000000GaMpEAK,Admin_Reports__c,2022-06-09T21:34:16.000Z,True
0050b000004KTsmAAG,2019-06-12T15:49:27.000Z,All US and CA projects with the Solution_VxRail skills on the PM Activities WO/Task.,NAMER_VxRail_Projects,Public Reports,Tabular,00O0b000005yLzaEAE,False,0050b000004KTsmAAG,2020-07-28T02:21:40.000Z,,2022-05-17T22:00:11.000Z,,NAMER - VxRail Projects,,00D0b000000GaMpEAK,Project_Skills__c,2022-05-17T22:00:11.000Z,True
0050b000004KTsmAAG,2019-06-17T19:25:40.000Z,All US and CA projects with the Data_Protection_Suite skills on the PM Activities WO/Task.,NAMER_Data_Protection_Projects,Public Reports,Tabular,00O0b000005yMj4EAE,False,0050b000004KTsmAAG,2019-06-17T19:26:38.000Z,,2022-05-17T22:00:02.000Z,,NAMER - Data Protection Projects,,00D0b000000GaMpEAK,Project_Skills__c,2022-05-17T22:00:02.000Z,True
0050b000004KSRBAA4,2019-06-19T19:32:29.000Z,,Brown_PE_report,Public Reports,Tabular,00O0b000005yN0ZEAU,False,0050b000004KSRBAA4,2019-06-20T16:04:44.000Z,,2022-01-30T21:22:00.000Z,,Brown PE report,,00D0b000000GaMpEAK,Project_to_Task_to_Work_Order_2__c,2022-01-30T21:22:00.000Z,True
0050b000004KSpWAAW,2019-06-25T02:57:41.000Z,Testing reporting Util,Copy_of_GC_Timecards_Report,Public Reports,Tabular,00O0b000005yNnHEAU,False,0050b000004KSpWAAW,2019-06-25T02:57:41.000Z,,2022-06-14T17:47:47.000Z,,Copy of GC Timecards Report,,00D0b000000GaMpEAK,,2022-06-14T17:47:47.000Z,True
0050b000004KRkCAAW,2019-07-16T20:57:21.000Z,,Team_Canada_Assignments,Public Reports,Tabular,00O0b000005yQx5EAE,False,0050b000004KRkCAAW,2021-04-23T01:42:33.000Z,,2022-04-08T18:50:53.000Z,,Team Canada Assignments,,00D0b000000GaMpEAK,,2022-04-08T18:50:53.000Z,True
0050b000004KBpCAAW,2019-04-04T13:30:48.000Z,EMEA Heat Check Notes,EMEA_Heat_Check_Notes_Report,Public Reports,Tabular,00O0b000006iIC1EAM,False,0050b000004KBpCAAW,2019-09-17T16:13:09.000Z,,2022-05-10T16:11:09.000Z,,EMEA Heat Check Notes Report,,00D0b000000GaMpEAK,,2022-05-10T16:11:09.000Z,True
0050b000004KSRBAA4,2019-08-07T20:52:53.000Z,NAMER (US/CA) active Data Projection projects (detailed order view).,Brown_NAMER_Data_Protection_WIP_v1,Public Reports,Summary,00O0b000005yTvCEAU,False,0050b000004KSRBAA4,2019-08-08T16:54:07.000Z,,2022-06-17T15:17:43.000Z,,Brown- NAMER - Data Protection WIP v1,,00D0b000000GaMpEAK,OrderItemList@Account.tz__DST_Setting__c,2022-06-17T15:17:43.000Z,True
0050b000004KTsmAAG,2019-08-09T19:30:43.000Z,,Closed_Projects_with_Open_Milestones,Public Reports,Summary,00O0b000005yUC8EAM,False,0050b000004KTsmAAG,2020-06-26T19:22:34.000Z,,2022-02-08T04:45:05.000Z,,Closed Projects with Open Milestones,,00D0b000000GaMpEAK,Projects_with_Milestones_with_Orders__c,2022-02-08T04:45:05.000Z,True
0050b000004KTsmAAG,2019-04-05T15:04:54.000Z,Projects with Related PID not blank and WO/SA for non- Physical Installation tasks for DMT booked task migration,DMT_Migrated_Projects_WO_and_orders,Public Reports,MultiBlock,00O0b000006iILcEAM,False,0050b000004KTsmAAG,2019-04-05T15:04:54.000Z,,2022-03-04T11:50:05.000Z,,DMT Migrated Projects - WO and orders,,00D0b000000GaMpEAK,Project_to_Task_to_Work_Order__c,2022-03-04T11:50:05.000Z,True
0050b000004KTsmAAG,2021-09-28T20:47:37.000Z,Shows all outstanding milestone forecasts.  Modified Minchello version to all NE for dashboard.,NorthEast_PDM_1_1_Total_Forecast,Public Reports,Summary,00O2R000003JWloUAG,False,0050b000004KTsmAAG,2021-09-28T20:49:38.000Z,,2022-06-15T18:57:47.000Z,,NorthEast PDM 1:1 Total Forecast,,00D0b000000GaMpEAK,Projects_with_MilestoneOrder_and_Order_Product__c,2022-06-15T18:57:47.000Z,True
0050b000004KTsmAAG,2021-09-28T20:55:19.000Z,Shows milestones forecasted within current quarter.  Based on Minchello version for NE compliance dashboard.,NorthEast_PDM_1_1_Quarter_Forecast,Public Reports,Summary,00O2R000003JWltUAG,False,0050b000004KTsmAAG,2021-09-28T20:56:35.000Z,,2022-06-19T13:00:02.000Z,,NorthEast PDM 1:1 Quarter Forecast,,00D0b000000GaMpEAK,Projects_with_MilestoneOrder_and_Order_Product__c,2022-06-19T13:00:02.000Z,True
0050b000004KTsmAAG,2021-09-28T20:59:53.000Z,Shows unearned milestones forecasted within current quarter.  Modified from Minchello version for NE compliance dashboard.,NorthEast_PDM_1_1_Quarter_Forecast_To_Go,Public Reports,Summary,00O2R000003JWlyUAG,False,0050b000004KTsmAAG,2021-09-28T21:26:20.000Z,,2022-06-19T13:00:02.000Z,,NorthEast PDM 1:1 Quarter Forecast To Go,,00D0b000000GaMpEAK,Projects_with_MilestoneOrder_and_Order_Product__c,2022-06-19T13:00:02.000Z,True
0050b000005JfILAA0,2019-10-04T10:54:36.000Z,,Brazil_CE_Survey_Fields_Compliance,Public Reports,Summary,00O1P0000037KumUAE,False,0050b000005JfILAA0,2019-10-04T10:55:22.000Z,,2022-03-08T14:27:47.000Z,,Brazil - CE Survey Fields Compliance,,00D0b000000GaMpEAK,,2022-03-08T14:27:47.000Z,True
0050b000005JfILAA0,2019-10-02T21:10:47.000Z,,Project_to_Task_to_Work_Order_AM,Public Reports,Summary,00O1P0000037KojUAE,False,0050b000005JfILAA0,2019-10-02T21:27:56.000Z,,2022-02-04T15:24:34.000Z,,Project to Task to Work Order AM,,00D0b000000GaMpEAK,Project_to_Task_to_Work_Order__c,2022-02-04T15:24:34.000Z,True
