CLIENT_GEO,PAGE_URL,PAGE_CONTEXT,PAGE_ENTITY_TYPE,TIMESTAMP,TIMESTAMP_DERIVED,UI_EVENT_SOURCE,UI_EVENT_TYPE,USER_AGENT,REPORT_ID_DERIVED
Australia/New South Wales,/lightning/r/Case/5006P000005FoO5QAK/view,one:recordHomeFlexipage2Wrapper,Case,20220606000029.2,2022-06-06T00:00:29.202Z,Error,error,"""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.0.0 Safari/537.36""",5006P000005FoO5QAK
China/Fujian,/lightning/r/Case/5006P000005etR4QAI/view,one:recordHomeFlexipage2Wrapper,Case,20220606001143.242,2022-06-06T00:11:43.243Z,TypeError,error,"""Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.121 Safari/537.36""",5006P000005etR4QAI
China/Fujian,/lightning/r/Case/5006P000005ermFQAQ/view,one:recordHomeFlexipage2Wrapper,Case,20220606001214.29,2022-06-06T00:12:14.286Z,TypeError,error,"""Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.121 Safari/537.36""",5006P000005ermFQAQ
China/Fujian,/lightning/r/Case/5006P000005PECNQA4/view,one:recordHomeFlexipage2Wrapper,Case,20220606001252.188,2022-06-06T00:12:52.188Z,TypeError,error,"""Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.121 Safari/537.36""",5006P000005PECNQA4
China/Fujian,/lightning/r/Case/5006P000005PECNQA4/view,one:recordHomeFlexipage2Wrapper,Case,20220606001252.19,2022-06-06T00:12:52.191Z,TypeError,error,"""Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.121 Safari/537.36""",5006P000005PECNQA4
China/Fujian,/lightning/r/Case/5006P000005epyOQAQ/view,one:recordHomeFlexipage2Wrapper,Case,20220606001328.76,2022-06-06T00:13:28.758Z,TypeError,error,"""Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.121 Safari/537.36""",5006P000005epyOQAQ
United States/Texas,/lightning/r/WorkOrder/0WO6P000001qxwgWAA/view,one:recordHomeFlexipage,WorkOrder,20220606001346.816,2022-06-06T00:13:46.819Z,Error,error,"""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.0.0 Safari/537.36""",0WO6P000001qxwgWAA
United States/Texas,/lightning/r/WorkOrder/0WO6P000001qxwgWAA/view,one:recordHomeFlexipage,WorkOrder,20220606001350.48,2022-06-06T00:13:50.480Z,Error,error,"""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.0.0 Safari/537.36""",0WO6P000001qxwgWAA
United States/null,/lightning/r/WorkOrder/0WO6P000001lngoWAA/view,one:recordHomeFlexipage,WorkOrder,20220606002046.15,2022-06-06T00:20:46.147Z,Error,error,"""Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.5005.63 Safari/537.36""",0WO6P000001lngoWAA
China/Fujian,/lightning/r/Case/5006P000005Qyl2QAC/view,one:recordHomeFlexipage2Wrapper,Case,20220606002107.73,2022-06-06T00:21:07.734Z,TypeError,error,"""Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.121 Safari/537.36""",5006P000005Qyl2QAC
China/Fujian,/lightning/r/Case/5006P000005Qyl2QAC/view,one:recordHomeFlexipage2Wrapper,Case,20220606002107.73,2022-06-06T00:21:07.735Z,TypeError,error,"""Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.121 Safari/537.36""",5006P000005Qyl2QAC
United States/null,/lightning/r/WorkOrder/0WO6P000001u2WgWAI/view,one:recordHomeFlexipage,WorkOrder,20220606002155.13,2022-06-06T00:21:55.131Z,Error,error,"""Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.5005.63 Safari/537.36""",0WO6P000001u2WgWAI
United States/null,/lightning/r/WorkOrder/0WO6P000001mIGSWA2/view,one:recordHomeFlexipage,WorkOrder,20220606002328.55,2022-06-06T00:23:28.551Z,Error,error,"""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.0.0 Safari/537.36""",0WO6P000001mIGSWA2
United States/null,/lightning/r/WorkOrder/0WO6P0000010qhbWAA/view,one:recordHomeFlexipage,WorkOrder,20220606002417.344,2022-06-06T00:24:17.343Z,Error,error,"""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.0.0 Safari/537.36""",0WO6P0000010qhbWAA
China/Fujian,/lightning/r/Case/5006P000005MRaMQAW/view,one:recordHomeFlexipage2Wrapper,Case,20220606002454.207,2022-06-06T00:24:54.206Z,TypeError,error,"""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.0.0 Safari/537.36""",5006P000005MRaMQAW
China/Fujian,/lightning/r/Case/5006P000005WjhqQAC/view,one:recordHomeFlexipage2Wrapper,Case,20220606002844.26,2022-06-06T00:28:44.261Z,TypeError,error,"""Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.121 Safari/537.36""",5006P000005WjhqQAC
United States/null,/lightning/r/WorkOrder/0WO6P000000whV2WAI/view,one:recordHomeFlexipage,WorkOrder,20220606003450.977,2022-06-06T00:34:50.977Z,Error,error,"""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.0.0 Safari/537.36""",0WO6P000000whV2WAI
China/Fujian,/lightning/r/Case/5006P000005WzcIQAS/view?ws=%2Flightning%2Fr%2FAsset%2F02i2R00000DKRAEQA5%2Fview,one:recordHomeFlexipage2Wrapper,Case,20220606003530.77,2022-06-06T00:35:30.770Z,RangeError,error,"""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.5005.63 Safari/537.36""",5006P000005WzcIQAS
China/Fujian,/lightning/r/Case/5006P000005WzcIQAS/view?ws=%2Flightning%2Fr%2FAsset%2F02i2R00000DKRAEQA5%2Fview,one:recordHomeFlexipage2Wrapper,Case,20220606003531.168,2022-06-06T00:35:31.169Z,RangeError,error,"""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.5005.63 Safari/537.36""",5006P000005WzcIQAS
China/Fujian,/lightning/r/Case/5006P000005WzcIQAS/view?ws=%2Flightning%2Fr%2FAsset%2F02i2R00000DKRAEQA5%2Fview,one:recordHomeFlexipage2Wrapper,Case,20220606003531.168,2022-06-06T00:35:31.171Z,RangeError,error,"""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.5005.63 Safari/537.36""",5006P000005WzcIQAS
United States/null,/lightning/r/WorkOrder/0WO6P000000whTCWAY/view,one:recordHomeFlexipage,WorkOrder,20220606003632.24,2022-06-06T00:36:32.236Z,Error,error,"""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.0.0 Safari/537.36""",0WO6P000000whTCWAY
United States/null,/lightning/r/WorkOrder/0WO6P000000whRzWAI/view,one:recordHomeFlexipage,WorkOrder,20220606003744.33,2022-06-06T00:37:44.330Z,Error,error,"""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.0.0 Safari/537.36""",0WO6P000000whRzWAI
United States/null,/lightning/r/WorkOrder/0WO6P000001r9RrWAI/view,one:recordHomeFlexipage,WorkOrder,20220606003842.93,2022-06-06T00:38:42.926Z,Error,error,"""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.0.0 Safari/537.36""",0WO6P000001r9RrWAI
