"EVENT_TYPE","TIMESTAMP","REQUEST_ID","ORGANIZATION_ID","USER_ID","RUN_TIME","CPU_TIME","URI","SESSION_KEY","LOGIN_KEY","USER_TYPE","REQUEST_STATUS","DB_TOTAL_TIME","ENTITY_NAME","DISPLAY_TYPE","RENDERING_TYPE","REPORT_ID","ROW_COUNT","NUMBER_EXCEPTION_FILTERS","NUMBER_COLUMNS","AVERAGE_ROW_SIZE","SORT","DB_BLOCKS","DB_CPU_TIME","NUMBER_BUCKETS","TIMESTAMP_DERIVED","USER_ID_DERIVED","CLIENT_IP","URI_ID_DERIVED","REPORT_ID_DERIVED","ORIGIN"
"Report","20220620000001.896","4jcf5JIhiY-D7dG-mNLFR-","00D0b000000GaMp","0050b000004KWJ2","1341","319","N/A","","","Standard","","1022895578","","H","","00O2R000003zQO5","0","0","18","0","0720b000008ihOr.up","900","50","0","2022-06-20T00:00:01.896Z","0050b000004KWJ2AAO","","","00O2R000003zQO5UAM","ReportRunAndNotificationSent"
"Report","20220620000037.553","TID:9360605190000141c8","00D0b000000GaMp","0056P0000011h1x","538","364","/aura","k0O17Cwh8elWHibW","DxBoCPZTU8z/526n","Standard","","99245792","","H","","00O0b000004kTaz","9","0","23","864","0720b000006jdBY.up","2439","40","0","2022-06-20T00:00:37.553Z","0056P0000011h1xQAA","40.119.243.144","","00O0b000004kTazEAE","ReportRunFromLightning"
"Report","20220620000104.965","TID:43400500000b9a797a","00D0b000000GaMp","0052R000009TlEN","368","228","/aura","klFBItiUvLVTRT2V","ch/M1kjy4JkAycob","Standard","","147409181","","H","","00O0b000006iNwd","60","0","19","798","","917","10","0","2022-06-20T00:01:04.965Z","0052R000009TlENQA0","163.244.182.17","","00O0b000006iNwdEAE","ReportRunFromLightning"
"Report","20220620000107.172","TID:3491549190000773ef","00D0b000000GaMp","0050b000004K3am","353","194","/aura","IFa32gMBC62YknwN","Tjuj/OeZd7pYb/YW","Standard","","171547195","","H","","00O0b000006iNwd","0","0","21","0","","876","30","0","2022-06-20T00:01:07.172Z","0050b000004K3amAAC","132.237.171.70","","00O0b000006iNwdEAE","ReportRunFromLightning"
"Report","20220620000117.631","4jcf9a_WU52ZxtG-mNKds-","00D0b000000GaMp","0050b000004K3mb","3451","128","N/A","","","Standard","","3296423916","","S","","00O0b000004kkZK","0","0","6","0","0720b000001dxwL.up","768","40","0","2022-06-20T00:01:17.631Z","0050b000004K3mbAAC","","","00O0b000004kkZKEAY","ChartRenderedInEmbeddedAnalyticsApp"
"Report","20220620000140.724","4jcfAsKyl6e2iOG-mNQ1c-","00D0b000000GaMp","0050b000004KJR7","4597","121","N/A","","","Standard","","4453651826","","S","","00O0b000004kkZK","0","0","6","0","0720b000001dxwL.up","789","30","0","2022-06-20T00:01:40.724Z","0050b000004KJR7AAO","","","00O0b000004kkZKEAY","ChartRenderedInEmbeddedAnalyticsApp"
"Report","20220620000156.882","4jcfC3CKFvz8qtG-mNMvk-","00D0b000000GaMp","0056P0000011gvr","390","235","N/A","","","Standard","","103290886","","H","","00O0b000004kpcx","1","0","8","482","CASE_NUMBER.up","6251","50","0","2022-06-20T00:01:56.882Z","0056P0000011gvrQAA","","","00O0b000004kpcxEAA","DashboardComponentUpdated"
"Report","20220620000202.293","TID:289831900005ce827a","00D0b000000GaMp","0050b000004K6Tw","535","327","/aura","106SrPi3x8ez47PF","sKCnFbDnwK9jv0jy","Standard","","207698648","","H","","00O0b000004kTaz","8","0","23","672","0720b000006jdBY.up","2845","60","0","2022-06-20T00:02:02.293Z","0050b000004K6TwAAK","203.174.168.50","","00O0b000004kTazEAE","ReportRunFromLightning"
"Report","20220620000226.018","TID:526446900008f8d67f","00D0b000000GaMp","0050b000004K6Tw","499","399","/aura","106SrPi3x8ez47PF","sKCnFbDnwK9jv0jy","Standard","","101518300","","H","","00O0b000004kTaz","8","0","23","672","0720b000006jdBY.up","3361","20","0","2022-06-20T00:02:26.018Z","0050b000004K6TwAAK","203.174.168.50","","00O0b000004kTazEAE","ReportRunFromLightning"
"Report","20220620000311.805","TID:3597808100000ab26d","00D0b000000GaMp","0056P0000011gte","401","292","/aura","y8CWQ66vD74Ciq+w","lzYJ5W3XQWKhvtT7","Standard","","107310609","","H","","00O2R000004AmgK","0","1","12","0","","949","40","0","2022-06-20T00:03:11.805Z","0056P0000011gteQAA","163.244.182.15","","00O2R000004AmgKUAS","ReportRunFromLightning"
"Report","20220620000316.063","SLB:e354899909bc5f3101464d50e8c4e5ea","00D0b000000GaMp","0050b000004KNJd","3317","256","/00O2R000003zUb9UAE","RPkStDojFalwogrG","NCE0cRg9rOoIkw6N","Standard","S","3006716332","","H","W","00O2R000003zUb9","8","0","17","894","","5986","30","1","2022-06-20T00:03:16.063Z","0050b000004KNJdAAO","168.159.160.201","00O2R000003zUb9UAE","00O2R000003zUb9UAE","ReportRunFromClassic"
"Report","20220620000339.772","TID:17504290000f749582","00D0b000000GaMp","0052R00000ASQJO","624","336","/aura","/S9Y/NKReYa2UT7N","eS2uv/eC5lRQnCg7","Standard","","312850241","","H","","00O0b000004kTaz","9","0","21","861","","3543","90","0","2022-06-20T00:03:39.772Z","0052R00000ASQJOQA5","163.244.182.12","","00O0b000004kTazEAE","ReportRunFromLightning"
"Report","20220620000412.349","SLB:f4a256d97c35dec27423b009dcc1aa7d","00D0b000000GaMp","0050b000004KNJd","4427","406","/00O2R000004F38wUAC","ROQ31GgLW8gJCwLv","bpNjx8QdAoKsmF7D","Standard","S","6305083806","","H","W","00O2R000004F38w","675","0","16","897","CASE_NUMBER.up","9134","40","1","2022-06-20T00:04:12.349Z","0050b000004KNJdAAO","168.159.160.201","00O2R000004F38wUAC","00O2R000004F38wUAC","ReportRunFromClassic"
"Report","20220620000529.898","TID:1808139000013ae65d","00D0b000000GaMp","0051P000003jYHV","693","264","/aura","FgKN80dwfzbN9+12","F/zIejiIT26lSLtX","Standard","","435854194","","H","","00O2R0000043lHL","15","0","14","692","","833","30","0","2022-06-20T00:05:29.898Z","0051P000003jYHVQA2","132.237.180.16","","00O2R0000043lHLUAY","ReportRunFromLightning"
"Report","20220620000557.109","TID:690456300000337e49","00D0b000000GaMp","0050b000004KCDL","392","302","/aura","iitaJWrPP68DS+6d","A1sJv8DfxdK06WoG","Standard","","92495928","","H","","00O0b000004kTaz","4","0","23","614","0720b000006jdBY.up","3046","30","0","2022-06-20T00:05:57.109Z","0050b000004KCDLAA4","132.237.180.17","","00O0b000004kTazEAE","ReportRunFromLightning"
"Report","20220620000559.697","4jcfPu2zDoNYCtG-mNHzo-","00D0b000000GaMp","0051P000003kNPU","5413","187","N/A","","","Standard","","5139714150","","S","","00O0b000004kkZK","0","0","6","0","0720b000001dxwL.up","832","40","0","2022-06-20T00:05:59.697Z","0051P000003kNPUQA2","","","00O0b000004kkZKEAY","ChartRenderedInEmbeddedAnalyticsApp"
"Report","20220620000659.048","TID:10985597000000efbe","00D0b000000GaMp","0051P000003jYOR","542","364","/aura","IjmB/+8PompZmK/R","CRUtHo1MkYNSSd8F","Standard","","139273674","","H","","00O0b000004kTaz","22","0","21","988","0720b000001dyL5.up","8614","60","0","2022-06-20T00:06:59.048Z","0051P000003jYORQA2","196.12.240.218","","00O0b000004kTazEAE","ReportRunFromLightning"
"Report","20220620000700.757","4jcfTdEGQkDewdG-mNOn--","00D0b000000GaMp","0052R000009Tr6D","2266","132","N/A","","","Standard","","2091475834","","S","","00O0b000004kkZK","0","0","6","0","0720b000001dxwL.up","873","30","0","2022-06-20T00:07:00.757Z","0052R000009Tr6DQAS","","","00O0b000004kkZKEAY","ChartRenderedInEmbeddedAnalyticsApp"
"Report","20220620000707.609","TID:420864800000024244","00D0b000000GaMp","0052R000009TqVG","493","241","/aura","2Tg+4SnkOewNyHj4","Ey67T7AEBlzs44Sj","Standard","","259013458","","H","","00O0b000006iNwd","2","0","21","1174","","937","30","0","2022-06-20T00:07:07.609Z","0052R000009TqVGQA0","163.244.60.30","","00O0b000006iNwdEAE","ReportRunFromLightning"
"Report","20220620000724.384","SLB:cac63017b67936d7b39bbf02dc573971","00D0b000000GaMp","0050b000004KNJd","3653","215","/00O2R000003zUb9UAE","RPkStDojFalwogrG","NCE0cRg9rOoIkw6N","Standard","S","3434958857","","H","W","00O2R000003zUb9","8","0","17","894","","5956","40","1","2022-06-20T00:07:24.384Z","0050b000004KNJdAAO","168.159.160.201","00O2R000003zUb9UAE","00O2R000003zUb9UAE","ReportRunFromClassic"
"Report","20220620000724.384","SLB:f375a360f38ac5ba626a431e1237889b","00D0b000000GaMp","0050b000004KNJd","5738","200","/00O2R000004F38wUAC","ROQ31GgLW8gJCwLv","bpNjx8QdAoKsmF7D","Standard","S","8003412684","","H","C","00O2R000004F38w","673","0","16","897","CASE_NUMBER.up","5874","20","1","2022-06-20T00:07:24.384Z","0050b000004KNJdAAO","168.159.160.201","00O2R000004F38wUAC","00O2R000004F38wUAC","ReportExported"
"Report","20220620000740.932","4jcfW4Fi6pykUdG-mNW0d-","00D0b000000GaMp","0052R000009jWKU","559","302","N/A","","","Standard","","99258794","","H","","00O0b000004kpcx","0","0","8","0","CASE_NUMBER.up","6167","50","0","2022-06-20T00:07:40.932Z","0052R000009jWKUQA2","","","00O0b000004kpcxEAA","DashboardComponentUpdated"
"Report","20220620000755.648","TID:22015564000005810d","00D0b000000GaMp","0051P000003jYuv","625","281","/aura","ZtepT40P6Ply8OiB","baqWeX8RI+OdtEbC","Standard","","297906086","","H","","00O0b000004kpcx","2","0","9","663","","11904","30","0","2022-06-20T00:07:55.648Z","0051P000003jYuvQAE","163.244.246.86","","00O0b000004kpcxEAA","ReportRunFromLightning"
"Report","20220620000759.329","SLB:899069f4d94c012603fe53a17140fd56","00D0b000000GaMp","0050b000004KNJd","5934","241","/00O2R000003zUb9UAE","RPkStDojFalwogrG","NCE0cRg9rOoIkw6N","Standard","S","5643831514","","H","W","00O2R000003zUb9","8","0","17","894","","6004","50","1","2022-06-20T00:07:59.329Z","0050b000004KNJdAAO","168.159.160.201","00O2R000003zUb9UAE","00O2R000003zUb9UAE","ReportRunFromClassic"
"Report","20220620000816.339","SLB:528baa856707f2bd97eb978176b7aa74","00D0b000000GaMp","0050b000004KNJd","5044","242","/00O2R000003zUb9UAE","RPkStDojFalwogrG","NCE0cRg9rOoIkw6N","Standard","S","4797268588","","H","W","00O2R000003zUb9","8","0","17","894","","5956","40","1","2022-06-20T00:08:16.339Z","0050b000004KNJdAAO","168.159.160.201","00O2R000003zUb9UAE","00O2R000003zUb9UAE","ReportRunFromClassic"
"Report","20220620000853.533","TID:8529057000007f3b86","00D0b000000GaMp","0052R00000ASQQ0","220","158","/aura","Mfq70kKbUQwpZFaS","rYqiH4B9KrW67Okd","Standard","","67317692","","S","","00O0b000004AmRm","5","0","2","122","","725","10","0","2022-06-20T00:08:53.533Z","0052R00000ASQQ0QAP","167.1.171.22","","00O0b000004AmRmEAK","ReportRunFromLightning"
"Report","20220620000856.439","SLB:5c2f4f14ff53c5bee53ab7b17139b74a","00D0b000000GaMp","0050b000004KNJd","5971","222","/00O2R000003zUb9UAE","RPkStDojFalwogrG","NCE0cRg9rOoIkw6N","Standard","S","5685910919","","H","W","00O2R000003zUb9","8","0","17","894","","5984","30","1","2022-06-20T00:08:56.439Z","0050b000004KNJdAAO","168.159.160.201","00O2R000003zUb9UAE","00O2R000003zUb9UAE","ReportRunFromClassic"
"Report","20220620000917.385","TID:774113000009422920","00D0b000000GaMp","0050b000004KWpK","535","396","/aura","MUjjg7fXk1n/9lWE","mJYlkL81TXnmSsYK","Standard","","100682978","","H","","00O0b000004kpcx","0","0","9","0","","11789","40","0","2022-06-20T00:09:17.385Z","0050b000004KWpKAAW","143.166.226.113","","00O0b000004kpcxEAA","ReportRunFromLightning"
"Report","20220620001023.828","TID:67527980000071024b","00D0b000000GaMp","0052R000009Tmh3","1940","231","/aura","DlSXmGo+n/Q74Rqj","Jar23/a2sn6aOEQ5","Standard","","1713273991","","H","","00O0b000006iNwd","6","0","21","1164","0720b000001mujK.down","903","30","0","2022-06-20T00:10:23.828Z","0052R000009Tmh3QAC","123.177.53.1","","00O0b000006iNwdEAE","ReportRunFromLightning"
"Report","20220620001046.035","TID:5450154290000b88b6","00D0b000000GaMp","0052R000009j2Ol","6909","431","/aura","7L13LxCZJVZWxKto","DlFFhF+aTLLiAqSV","Standard","","6445648326","","H","","00O2R000004Amwm","1","0","44","1802","0722R000004O8YP.down","1183","30","0","2022-06-20T00:10:46.035Z","0052R000009j2OlQAI","137.69.117.202","","00O2R000004AmwmUAC","ReportRunFromLightning"
"Report","20220620001046.157","TID:15170600000e3a5ab8","00D0b000000GaMp","0050b000004KXfN","581","399","/aura","GLjErco87Tk+lBTq","ncn2ozxoA5JgJ1QO","Standard","","136877540","","H","","00O2R000003JSoU","156","0","16","932","AGE.down","14587","30","3","2022-06-20T00:10:46.157Z","0050b000004KXfNAAW","168.159.160.201","","00O2R000003JSoUUAW","ReportRunFromLightning"
"Report","20220620001055.782","SLB:a99104747b30e828806d3845dd9c3057","00D0b000000GaMp","0052R000009iwRc","2427","2115","/servlet/PrintableViewDownloadServlet","9136YZ6XFqyPN7Y1","bUXPReORkkoT8X7q","Standard","S","176654462","","H","","00O6P000000NvKi","395","0","33","1658","","20204","80","0","2022-06-20T00:10:55.782Z","0052R000009iwRcQAI","163.244.60.29","","00O6P000000NvKiUAK","ReportExported"
"Report","20220620001056.848","4jcfgHD089Rl-OG-mNNQF-","00D0b000000GaMp","0056P000000xXex","4020","130","N/A","","","Standard","","3866398206","","S","","00O0b000004kkZK","0","0","6","0","0720b000001dxwL.up","849","40","0","2022-06-20T00:10:56.848Z","0056P000000xXexQAE","","","00O0b000004kkZKEAY","ChartRenderedInEmbeddedAnalyticsApp"
"Report","20220620001100.726","TID:45909290000f083f16","00D0b000000GaMp","0056P000000Dg0J","608","326","/aura","eOWSH3cCZ92PuoKl","Fz7QXi/gICUlF8WW","Standard","","335485936","","H","","00O0b000006iNwd","110","0","21","1136","","787","20","0","2022-06-20T00:11:00.726Z","0056P000000Dg0JQAS","167.1.171.22","","00O0b000006iNwdEAE","ReportRunFromLightning"
"Report","20220620001102.649","SLB:47b88b721d3c257cc47716c0098f83a0","00D0b000000GaMp","0050b000004K7hF","4239","2970","/servlet/PrintableViewDownloadServlet","Wanbfxmb/pz7Uo1v","pU+CY5BBhPY9r527","Standard","S","197389794","","H","","00O6P000000NvKi","395","0","33","1658","","20303","120","0","2022-06-20T00:11:02.649Z","0050b000004K7hFAAS","203.174.168.51","","00O6P000000NvKiUAK","ReportExported"
"Report","20220620001103.307","4jcfgr2m4-lhMdG-mNHjk-","00D0b000000GaMp","0051P000003jYV3","591","234","N/A","","","Standard","","323504854","","H","","00O0b000004kpcx","0","0","8","0","CASE_NUMBER.up","6265","30","0","2022-06-20T00:11:03.307Z","0051P000003jYV3QAM","","","00O0b000004kpcxEAA","DashboardComponentUpdated"
"Report","20220620001104.197","TID:182583000000f8bc52","00D0b000000GaMp","0050b000004K71G","627","455","/aura","wxKnrv7IURi1VSV+","OuW5Lx78dCu0r5Zf","Standard","","143589279","","H","","00O2R000004BQ1b","11","0","24","1060","CDF1.down","20317","70","0","2022-06-20T00:11:04.197Z","0050b000004K71GAAS","203.174.168.50","","00O2R000004BQ1bUAG","ReportRunFromLightning"
"Report","20220620001108.412","TID:1866710000008b0e95","00D0b000000GaMp","0050b000004K71G","618","473","/aura","wxKnrv7IURi1VSV+","OuW5Lx78dCu0r5Zf","Standard","","125566174","","H","","00O2R000004BQ1b","11","0","23","1056","CDF1.down","20191","60","0","2022-06-20T00:11:08.412Z","0050b000004K71GAAS","203.174.168.50","","00O2R000004BQ1bUAG","ReportRunFromLightning"
"Report","20220620001112.468","TID:7717369700000ae242","00D0b000000GaMp","0050b000004KRA0","5629","241","/aura","geA1VbBoNm6rtlja","h5Xm7vc3hTCJMedL","Standard","","5354985253","","H","","00O2R000004AnEd","17","0","10","424","00N0b000003JpcO.down","635","10","0","2022-06-20T00:11:12.468Z","0050b000004KRA0AAO","137.69.117.201","","00O2R000004AnEdUAK","ReportRunFromLightning"
"Report","20220620001112.492","TID:190949700000f08a3f","00D0b000000GaMp","0050b000004K71G","551","402","/aura","wxKnrv7IURi1VSV+","OuW5Lx78dCu0r5Zf","Standard","","126777487","","H","","00O2R000004BQ1b","11","0","22","1052","CDF1.down","19967","30","0","2022-06-20T00:11:12.492Z","0050b000004K71GAAS","203.174.168.50","","00O2R000004BQ1bUAG","ReportRunFromLightning"
"Report","20220620001121.433","TID:243330000006239b0b","00D0b000000GaMp","0056P000000xV9T","341","198","/aura","axtXg132y7P2qS+G","UbXSgbr0WsjmNwhP","Standard","","153125824","","H","","00O0b000006iNwd","35","0","21","1191","","818","40","0","2022-06-20T00:11:21.433Z","0056P000000xV9TQAU","167.1.171.22","","00O0b000006iNwdEAE","ReportRunFromLightning"
"Report","20220620001128.792","4jcfiCSzvT2zOOG-mNNvZ-","00D0b000000GaMp","0052R000009iwpU","2878","115","N/A","","","Standard","","2730733775","","S","","00O0b000004kkZK","0","0","6","0","0720b000001dxwL.up","982","60","0","2022-06-20T00:11:28.792Z","0052R000009iwpUQAQ","","","00O0b000004kkZKEAY","ChartRenderedInEmbeddedAnalyticsApp"
